etcsl_no, text_name, l_no, text
c.1.8.2.4,Enmerkar and En-suhgir-ana,32,sux:ŋe₂₆[I]PD sux:Inana[1]DN sux:ŋiri₃[foot]N sux:babbar[white]AJ sux:inim[word]N sux:bal[to turn over]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,33,sux:e-ne[he/ she]PD sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,34,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,35,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:nunuz[egg]N sux:ŋir₃-lam[basket]N sux:amar[calf]N sux:la₂[to hang]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,36,sux:tur[to be small]V sux:utul₂[tureen]N sux:gal[to be big]V sux:šen[type of vessel]N sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,37,sux:kur-gi₄[goose]N sux:ki[place]N sux:taka₄[to leave behind]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,38,sux:ensi₂[(city) ruler]N sux:kur[(mountain) land]N sux:gu₂[neck]N sux:ŋar[to place]V sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,39,sux:Enmerkar[1]RN sux:ur₅[that]PD sux:inim[word]N sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,40,sux:kiŋ₂-gi₄-a[messenger]N sux:ŋen[to go]V sux:šeg₉-bar[fallow deer?]N sux:im₂[to run]V sux:sur₂-du₃[falcon]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,41,sux:ud[day(light)]N sux:e₃[to go out or in]V sux:an-usan[evening]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,42,sux:buru₅[sparrow?]N sux:ud[day(light)]N sux:zal[to pass]V sux:gaba[chest]N sux:ki[place]N sux:zag[side]N sux:gub[to stand]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,43,sux:buru₅[sparrow?]N sux:ŋi₆[night]N sux:1/2[1/2]NU sux:kur-šag₄[centre of mountain]N sux:si[to fill]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,44,sux:ilar[throwing stick]N sux:zag[side]N sux:gub[to stand]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,45,sux:dur₃[young donkey]N sux:dili[single]AJ sux:ŋen[to go]V sux:Šakkan[1]DN sux:hur-saŋ[mountain (range)]N sux:dag[to roam around]V sux:si-il[to split apart]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,46,sux:dur₃[young donkey]N sux:uru₁₆[to be towering]V sux:gal[to be big]V sux:kušum₄[noun part of multiword verb]N sux:tag[to touch]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,47,sux:dur₃[young donkey]N sux:sal[to be thin]V sux:kaš₄[to run]V sux:kiŋ₂[to seek]V sux:dub₃[knee]N sux:bur₂[to release]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,48,sux:ur-mah[lion]N sux:a-šag₄[field]N sux:ud[day(light)]N sux:zal[to pass]V sux:animal noise[1]ideophone sux:ša₄[verb part of multiword verb]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,49,sux:ur-bar-ra[wolf]N sux:sila₄[lamb]N sux:šu[hand]N sux:te[to approach]V sux:ul₄[to hasten]V sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,50,sux:ki[place]N sux:tur[to be small]V sux:ŋen[to go]V sux:si[to fill]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,51,sux:ki[place]N sux:gal[to be big]V sux:ŋen[to go]V sux:bulug[sharp object]N sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,52,sux:en[lord]N sux:ŋi₆-par₄[cloister]N sux:kug[shining]AJ sux:ki[place]N sux:kug[shining]AJ sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,52A,sux:Enmerkar[1]RN sux:ki[place]N sux:kug[shining]AJ sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,53,sux:za[you (sg.)]PD sux:lugal[king]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,54,sux:en[lord]N sux:Aratta[1]SN sux:En-suhgir-ana[1]RN sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,54A,sux:lugal[king]N sux:dug₄[to say]V sux:nam-ŋu₁₀[what is it to me]PD sux:tah[to add]V sux:nam-ŋu₁₀[what is it to me]PD
c.1.8.2.4,Enmerkar and En-suhgir-ana,54B,sux:En-suhgir-ana[1]RN sux:dug₄[to say]V sux:nam-ŋu₁₀[what is it to me]PD sux:tah[to add]V sux:nam-ŋu₁₀[what is it to me]PD
c.1.8.2.4,Enmerkar and En-suhgir-ana,54C,sux:lugal[king]N sux:a-na[what]PD sux:dug₄[to say]V sux:a-na[what]PD sux:tah[to add]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,54D,sux:En-suhgir-ana[1]RN sux:a-na[what]PD sux:dug₄[to say]V sux:a-na[what]PD sux:tah[to add]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,55,sux:lugal[king]N sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,56,sux:e-ne[he/ she]PD sux:ŋe₂₆[I]PD sux:gu₂[neck]N sux:ŋar[to place]V sux:šudul[yoke]N sux:il₂[to raise]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,57,sux:ud[day(light)]N sux:gu₂[neck]N sux:ŋar[to place]V sux:gu₂[neck]N sux:ŋar[to place]V sux:u₃[and]C sux:e-ne[he/ she]PD sux:u₃[and]C sux:ŋe₂₆[I]PD
c.1.8.2.4,Enmerkar and En-suhgir-ana,58,sux:e-ne[he/ she]PD sux:Inana[1]DN sux:e₂-ŋar₈[wall]N sux:til₃[to live]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,59,sux:ŋe₂₆[I]PD sux:Inana[1]DN sux:E-zagin[1]TN sux:Aratta[1]SN sux:til₃[to live]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,60,sux:ŋiš-nu₂[bed]N sux:gi-rin[blossom]N sux:nu₂[to lie down]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,61,sux:še-er-ka-an[adornment]N sux:dug₄[to say]V sux:u₃[sleep]N sux:dug₃[to be good]V sux:ku[to lay down]V sux:nu₂[to lie down]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,62,sux:e-ne[he/ she]PD sux:Inana[1]DN sux:ŋi₆[night]N sux:ma-mu₂[dream]N sux:igi[eye]N sux:du₈[to spread]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,63,sux:ŋe₂₆[I]PD sux:Inana[1]DN sux:ŋiri₃[foot]N sux:babbar[white]AJ sux:inim[word]N sux:bal[to turn over]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,64,sux:e-ne[he/ she]PD sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,65,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,66,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:nunuz[egg]N sux:ŋir₃-lam[basket]N sux:amar[calf]N sux:la₂[to hang]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,67,sux:tur[to be small]V sux:utul₂[tureen]N sux:gal[to be big]V sux:šen[type of vessel]N sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,68,sux:kur-gi₄[goose]N sux:ki[place]N sux:taka₄[to leave behind]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,69,sux:ensi₂[(city) ruler]N sux:kur[(mountain) land]N sux:gu₂[neck]N sux:ŋar[to place]V sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,70,sux:en[lord]N sux:Unug[1]SN sux:si-muš₃[brilliance]N sux:zi-gan[rudder]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,71,sux:rab₃[shackle]N sux:šu[hand]N sux:ri[to direct]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,72,sux:ki[place]N sux:us₂[to be adjacent]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,73,sux:sur₂-du₃[falcon]N sux:an[heaven]N sux:dal[to fly]V sux:gu[(flax) thread]N sux:mušen[bird]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,74,sux:šeg₁₂[brick(work)]N sux:e₂[house(hold)]N sux:gal[to be big]V sux:Aratta[1]SN sux:sur[to drip]V sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,75,sux:gal[to be big]V sux:Aratta[1]SN sux:nam[destiny]N sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,76,sux:DU[DU]V sux:ŋal₂[to be (located)]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,77,sux:im[clay]N sux:šu[hand]N sux:ra[to beat]V sux:im[clay]N sux:igi[eye]N sux:bar[to set aside]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,78,sux:e-ne[he/ she]PD sux:Inana[1]DN sux:E-zagin[1]TN sux:Aratta[1]SN sux:til₃[to live]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,79,sux:ŋe₂₆[I]PD sux:an[heaven]N sux:ki[place]N sux:gub[to stand]V sux:til₃[to live]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,80,sux:še-er-ka-an[adornment]N sux:dug₄[to say]V sux:u₃[sleep]N sux:dug₃[to be good]V sux:ku[to lay down]V sux:nu₂[to lie down]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,81,sux:ŋe₂₆[I]PD sux:ŋiš-nu₂[bed]N sux:gi-rin[blossom]N sux:Inana[1]DN sux:u₂[plant]N sux:za-gin₃[lapis lazuli]N sux:barag[dais]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,82,sux:eŋer[back]N sux:ug[lion]N sux:saŋ[head]N sux:piriŋ[lion]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,83,sux:ug[lion]N sux:piriŋ[lion]N sux:sar[to run]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,84,sux:piriŋ[lion]N sux:ug[lion]N sux:sar[to run]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,85,sux:ug[lion]N sux:piriŋ[lion]N sux:sar[to run]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,86,sux:piriŋ[lion]N sux:ug[lion]N sux:sar[to run]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,87,sux:ud[day(light)]N sux:zal[to pass]V sux:ŋi₆[night]N sux:u₃-na[designation of night]N sux:ru-gu₂[to face]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,88,sux:ŋe₂₆[I]PD sux:Inana[1]DN sux:kaskal[(high)way]N sux:danna[length measure]N sux:15[15]NU sux:šu[hand]N sux:niŋin₂[to go around]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,89,sux:Utu[1]DN sux:suh₁₀[crown]N sux:kug[shining]AJ sux:igi[eye]N sux:bar[to set aside]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,90,sux:ŋi₆-par₄[cloister]N sux:kug[shining]AJ sux:kur₉[to enter]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,91,sux:Enlil[1]DN sux:aga[crown]N sux:zid[right]AJ sux:ŋidru[sceptre]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,92,sux:Ninurta[1]DN sux:dumu[child]N sux:Enlil[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,93,sux:ŋiš[tree]N sux:ummud[waterskin]N sux:ur₂[root]N sux:tal₂[to be broad]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,94,sux:Aruru[1]DN sux:nin₉[sister]N sux:Enlil[1]DN
c.1.8.2.4,Enmerkar and En-suhgir-ana,95,sux:ubur[breast]N sux:zid[right]AJ sux:la₂[to hang]V sux:ubur[breast]N sux:gabu₂[left (side)]N sux:la₂[to hang]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,96,sux:eš₃[shrine]N sux:gal[to be big]V sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,97,sux:nu-u₈-gig[high-status woman]N sux:Anzud[1]DN sux:amar[calf]N sux:mur[growl]N sux:ša₄[verb part of multiword verb]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,98,sux:2-kam-ma[2nd]NU sux:ed₃[to go down or up]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,99,sux:uz[duck]N sux:amar[calf]N sux:dug₄[to say]V sux:šeg₁₁[loud noise]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,100,sux:iri[town]N sux:tud[to give birth]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,101,sux:iri[town]N sux:du₃[to erect]V sux:iri[town]N sux:na-me[any]PD sux:dim₂[to create]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,102,sux:Inana[1]DN sux:Unug[1]SN sux:til₃[to live]V sux:Aratta[1]SN sux:a-na[what(ever)]PD sux:me[to be]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,103,sux:šeg₁₂[brick(work)]N sux:Kulaba[1]SN sux:til₃[to live]V sux:kur[(mountain) land]N sux:me[essence]N sux:sikil[to be pure]V sux:a-na[what]PD sux:ak[to do]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,104,sux:mu[year]N sux:5[5]NU sux:mu[year]N sux:10[10]NU sux:Aratta[1]SN sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,105,sux:ud[day(light)]N sux:Aratta[1]SN sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,106,sux:kug[shining]AJ sux:gal[to be big]V sux:nin[lady]N sux:E-ana[1]TN
c.1.8.2.4,Enmerkar and En-suhgir-ana,107,sux:ad[voice]N sux:gi₄[to return]V sux:inim[word]N sux:zu[to know]V sux:dug₄[to say]V sux:Aratta[1]SN sux:ŋen[to go]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,108,sux:e-ne[he/ she]PD sux:tuku[to have]V sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,109,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:še[barley]N sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,110,sux:ŋe₂₆[I]PD sux:kur-gi₄[goose]N sux:nunuz[egg]N sux:ŋir₃-lam[basket]N sux:amar[calf]N sux:la₂[to hang]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,111,sux:tur[to be small]V sux:utul₂[tureen]N sux:gal[to be big]V sux:šen[type of vessel]N sux:mah[to be majestic]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,112,sux:kur-gi₄[goose]N sux:ki[place]N sux:taka₄[to leave behind]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,113,sux:ensi₂[(city) ruler]N sux:kur[(mountain) land]N sux:Sumer[1]GN sux:Sumer[1]GN sux:gu₂[neck]N sux:ŋar[to place]V sux:gu₇[to eat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,114,sux:kiŋ₂-gi₄-a[messenger]N sux:Enmerkar[1]RN sux:En-suhgir-ana[1]RN
c.1.8.2.4,Enmerkar and En-suhgir-ana,115,sux:ŋi₆-par₄[cloister]N sux:kug[shining]AJ sux:ki[place]N sux:kug[shining]AJ
c.1.8.2.4,Enmerkar and En-suhgir-ana,116,sux:ki[place]N sux:kug[shining]AJ sux:KU[KU]V sux:te[to approach]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,117,sux:En-suhgir-ana[1]RN sux:a₂[arm]N sux:aŋ₂[to measure]V sux:gu₃[voice]N sux:de₂[to pour]V sux:inim[word]N sux:kiŋ₂[to seek]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,118,sux:išib[type of priest]N sux:lu₂-mah[type of priest]N sux:gudug[type of priest]N sux:ŋiri₃-sig₁₀-ga[attendant]N sux:ŋi₆-par₄[cloister]N sux:til₃[to live]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,119,sux:gu₂[neck]N sux:ŋar[to place]V sux:šag₄[heart]N sux:kuš₂[to be tired]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,120,sux:a-na[what]PD sux:dug₄[to say]V sux:a-na[what]PD sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,121,sux:en[lord]N sux:Unug[1]SN sux:en[lord]N sux:Kulaba[1]SN sux:a-na[what]PD sux:dug₄[to say]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,122,sux:gud[bull]N sux:gud[bull]N sux:lirum[clutching]N sux:zig₃[to rise]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,123,sux:gud[bull]N sux:Unug[1]SN sux:a₂[arm]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,124,sux:lu₂[person]N sux:lu₂[person]N sux:usu[strength]N sux:ra[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,125,sux:lu₂[person]N sux:Unug[1]SN sux:a₂[arm]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,126,sux:ur[man]N sux:ur[man]N sux:usu[strength]N sux:ra[to beat]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,127,sux:ur[man]N sux:Unug[1]SN sux:KA.NI[meaning unknown]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,128,sux:unken[assembly]N sux:ŋar[to place]V sux:si[horn]N sux:sa₂[to equal]V sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,129,sux:za[you (sg.)]PD sux:Unug[1]SN sux:dub-saŋ[front (person)]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,130,sux:niŋ₂[thing]N sux:gal[to be big]V sux:Enmerkar[1]RN sux:kiŋ₂-gi₄-a[messenger]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,131,sux:Enmerkar[1]RN sux:du₃[to erect]V sux:za[you (sg.)]PD sux:du₃[to erect]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,132,sux:zi[life (breath)]N sux:gi₄[to return]V sux:šag₄[heart]N sux:niŋ₂[thing]N sux:na-me[any]PD sux:de₆[to carry]V sux:en-na[as many as]PD sux:zu[to know]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,133,sux:iri[town]N sux:dul[to cover (together)]V sux:me[to be]V sux:ŋe₂₆[I]PD sux:šika[(pot)sherd]N sux:me[to be]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,134,sux:en[lord]N sux:Unug[1]SN sux:en[lord]N sux:Kulaba[1]SN sux:gu₂[neck]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,135,sux:maš-maš[sorcerer]N sux:dim₂-ma[reasoning]N sux:dumu[child]N sux:Hamazi[1]SN
c.1.8.2.4,Enmerkar and En-suhgir-ana,136,sux:Ur-ŋiri-nuna[1]PN sux:dim₂-ma[reasoning]N sux:dumu[child]N sux:Hamazi[1]SN
c.1.8.2.4,Enmerkar and En-suhgir-ana,137,sux:Hamazi[1]SN sux:hul[to be bad]V sux:Aratta[1]SN sux:bal[to turn over]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,138,sux:E-ŋipar[1]TN sux:nam-maš-maš[sorcerer's craft]N sux:dagan[(sleeping) chamber]N sux:KU[KU]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,139,sux:sukkal[minister]N sux:Ansiga-ria[1]PN sux:gu₃[voice]N sux:de₂[to pour]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,140,sux:lugal[king]N sux:ad-da[father]N sux:gal[to be big]V sux:iri[town]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,141,sux:libir[to be old]V sux:uš[foundation]N sux:ki[place]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,142,sux:a-na-aš[why]AV sux:ŋar[to place]V sux:ad[voice]N sux:gi₄[to return]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,143,sux:ŋe₂₆[I]PD sux:id₂[watercourse]N sux:Unug[1]SN sux:ba-al[to dig]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,144,sux:itima[(sleeping) chamber]N sux:Aratta[1]SN sux:gu₂[neck]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,145,sux:inim[word]N sux:Unug[1]SN sux:tag[to touch]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,146,sux:erin₂[group of people]N sux:gal[to be big]V sux:sig[to be low]V sux:igi-nim[upper land]N sux:ab[sea]N sux:kur[(mountain) land]N sux:erin[cedar]N
c.1.8.2.4,Enmerkar and En-suhgir-ana,147,sux:igi-nim[upper land]N sux:kur[(mountain) land]N sux:šim[aromatic (fragrance)]N sux:erin[cedar]N sux:gu₂[neck]N sux:ŋar[to place]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,148,sux:Unug[1]SN sux:niŋ₂-gur₁₁[possessions]N sux:ni₂-bi[itself/ themselves]PD sux:ma₂[boat]N sux:gid₂[to be long]V
c.1.8.2.4,Enmerkar and En-suhgir-ana,149,sux:ma₂[boat]N sux:la₂[to hang]V sux:E-zagin[1]TN sux:Aratta[1]SN
